sigungu_code,sido_code,sigungu_name,job_top_code,year_month,job_openings,job_seekers,placements,valid_openings,valid_seekers
11110,11,종로구,01,2023-08,179,210,54,200,886
11110,11,종로구,02,2023-08,39,76,30,61,331
11110,11,종로구,03,2023-08,20,55,19,19,239
11110,11,종로구,04,2023-08,27,17,10,9,101
11110,11,종로구,05,2023-08,55,99,24,46,406
11110,11,종로구,06,2023-08,488,130,65,505,564
11110,11,종로구,07,2023-08,79,52,20,94,216
11110,11,종로구,08,2023-08,76,11,3,86,69
11110,11,종로구,09,2023-08,18,11,3,13,39
11110,11,종로구,10,2023-08,38,10,4,29,58
11110,11,종로구,11,2023-08,8,13,4,8,65
11110,11,종로구,12,2023-08,56,7,3,56,48
11110,11,종로구,13,2023-08,0,5,0,0,15
11140,11,중구,01,2023-08,254,170,57,296,724
11140,11,중구,02,2023-08,48,65,27,55,314
11140,11,중구,03,2023-08,42,50,12,58,183
11140,11,중구,04,2023-08,11,17,26,16,89
11140,11,중구,05,2023-08,22,70,14,34,318
11140,11,중구,06,2023-08,583,118,46,610,530
11140,11,중구,07,2023-08,81,53,15,124,224
11140,11,중구,08,2023-08,34,17,5,33,71
11140,11,중구,09,2023-08,57,6,3,60,30
11140,11,중구,10,2023-08,58,13,4,57,32
11140,11,중구,11,2023-08,16,8,1,35,53
11140,11,중구,12,2023-08,129,8,1,140,39
11140,11,중구,13,2023-08,0,3,0,0,8
11170,11,용산구,01,2023-08,100,307,76,317,1293
11170,11,용산구,02,2023-08,26,94,32,34,445
11170,11,용산구,03,2023-08,32,88,28,25,389
11170,11,용산구,04,2023-08,21,48,13,18,177
11170,11,용산구,05,2023-08,16,123,38,22,620
11170,11,용산구,06,2023-08,335,227,78,301,922
11170,11,용산구,07,2023-08,136,83,27,124,358
11170,11,용산구,08,2023-08,18,24,11,16,126
11170,11,용산구,09,2023-08,9,7,2,13,80
11170,11,용산구,10,2023-08,29,14,5,35,62
11170,11,용산구,11,2023-08,9,13,2,6,83
11170,11,용산구,12,2023-08,39,11,4,40,65
11170,11,용산구,13,2023-08,4,2,1,3,16
11200,11,성동구,01,2023-08,277,365,106,280,1705
11200,11,성동구,02,2023-08,72,158,56,91,726
11200,11,성동구,03,2023-08,45,108,18,41,461
11200,11,성동구,04,2023-08,17,51,15,17,220
11200,11,성동구,05,2023-08,12,131,35,23,644
11200,11,성동구,06,2023-08,397,338,122,282,1312
11200,11,성동구,07,2023-08,372,110,35,407,468
11200,11,성동구,08,2023-08,16,35,7,14,178
11200,11,성동구,09,2023-08,29,29,7,30,110
11200,11,성동구,10,2023-08,42,28,7,37,89
11200,11,성동구,11,2023-08,41,30,3,54,155
11200,11,성동구,12,2023-08,38,27,3,68,131
11200,11,성동구,13,2023-08,0,1,2,0,12
11215,11,광진구,01,2023-08,106,606,147,104,2432
11215,11,광진구,02,2023-08,10,250,77,22,1156
11215,11,광진구,03,2023-08,36,136,36,30,565
11215,11,광진구,04,2023-08,21,96,27,28,372
11215,11,광진구,05,2023-08,9,242,62,18,1045
11215,11,광진구,06,2023-08,339,577,171,339,1961
11215,11,광진구,07,2023-08,102,171,41,115,715
11215,11,광진구,08,2023-08,15,73,9,30,305
11215,11,광진구,09,2023-08,8,29,10,10,142
11215,11,광진구,10,2023-08,19,33,14,20,162
11215,11,광진구,11,2023-08,0,32,8,0,187
11215,11,광진구,12,2023-08,13,20,6,13,126
11215,11,광진구,13,2023-08,0,10,1,0,23
11230,11,동대문구,01,2023-08,69,598,187,72,2571
11230,11,동대문구,02,2023-08,5,218,67,16,958
11230,11,동대문구,03,2023-08,35,190,53,28,642
11230,11,동대문구,04,2023-08,27,103,36,27,377
11230,11,동대문구,05,2023-08,9,200,56,13,837
11230,11,동대문구,06,2023-08,392,508,233,352,1893
